method,day,log_loss,brier,pr_auc,n,n_train,fit_time
decay_hl1,16,0.6167668656030074,0.21382189107295013,0.5533451543666097,477680,8804006,23.09078812599182
decay_hl3,16,0.6123117041059984,0.21190600364776546,0.5609765527183792,477680,8804006,23.12634515762329
decay_hl7,16,0.6112832299840532,0.21147924201104146,0.5629136680557622,477680,8804006,23.10895586013794
expanding,17,0.6191110849780653,0.21501364629619749,0.56710818472625,450258,9281686,24.379490852355957
rolling_1,17,0.618697925241011,0.2148118800666375,0.5662989424116219,450258,477680,1.1492435932159424
rolling_3,17,0.6172241362642081,0.21418072996472337,0.5677879725588288,450258,1505551,4.511808633804321
rolling_7,17,0.6172860326630938,0.2141946083144631,0.567821881445508,450258,3703281,10.458633184432983
rolling_14,17,0.6184377578285258,0.2147193255455012,0.5675367951366235,450258,7623544,20.472561359405518
decay_hl1,17,0.6242157920928104,0.21723473199041363,0.5553978227207076,450258,9281686,24.43100595474243
decay_hl3,17,0.6200353231307498,0.2154190252226946,0.563769545875391,450258,9281686,24.446452140808105
decay_hl7,17,0.619128560642452,0.21502384511193595,0.5661369686530436,450258,9281686,24.487480401992798
expanding,18,0.617374602200183,0.2142258568616318,0.5614885762407382,538532,9731944,25.611862897872925
rolling_1,18,0.6182389595328198,0.2145538357810586,0.5601280810101978,538532,450258,1.0840609073638916
rolling_3,18,0.6159459607181678,0.21358582154437267,0.5616203894430096,538532,1433746,4.241976499557495
rolling_7,18,0.6157952257143016,0.21350452741062326,0.5619090957765918,538532,3692632,10.426986694335938
rolling_14,18,0.6169941204592707,0.21405189580661682,0.5618719295568754,538532,7575206,20.331093072891235
decay_hl1,18,0.6227627142396343,0.21650437669060588,0.5494529033550033,538532,9731944,25.687583684921265
decay_hl3,18,0.6183891017707964,0.21464341802642076,0.5579232631201287,538532,9731944,25.66956639289856
decay_hl7,18,0.6174206553588809,0.21423669919271712,0.5603907296344844,538532,9731944,25.641880750656128
expanding,19,0.6061780996112386,0.2091691104525119,0.5547097609371082,582350,10270476,27.098485946655273
rolling_1,19,0.6070486617428866,0.2095319360219104,0.551947618622812,582350,538532,1.3161277770996094
rolling_3,19,0.6059753859505552,0.20903185419493422,0.555034532403303,582350,1466470,4.336532115936279
rolling_7,19,0.6053927969538174,0.20879665886795637,0.5556479806890093,582350,3656753,10.269937515258789
rolling_14,19,0.6055307459701951,0.20887757828004708,0.5554538245337748,582350,7522558,20.19787311553955
decay_hl1,19,0.6135343177641687,0.21219700115100804,0.5427707241770408,582350,10270476,27.213486194610596
decay_hl3,19,0.6082329143872452,0.2099738846807584,0.5510510742803865,582350,10270476,27.074166536331177
decay_hl7,19,0.606732798742387,0.20936898562299294,0.5536083475884609,582350,10270476,27.133432149887085
expanding,20,0.6074200340010563,0.20971706106595311,0.5564881623044209,552965,10852826,28.799421548843384
rolling_1,20,0.6071206540387857,0.20956554018896686,0.5561038345300362,552965,582350,1.5043163299560547
rolling_3,20,0.6069736828417936,0.20950793577410975,0.556509799978698,552965,1571140,4.773050546646118
rolling_7,20,0.6066303035131726,0.209359633393203,0.5574431771899435,552965,3629780,10.141309022903442
rolling_14,20,0.6070300752167979,0.20951882056421953,0.5569058594616805,552965,7466743,19.938348054885864
decay_hl1,20,0.614069777283038,0.21249299647348444,0.5449349099778005,552965,10852826,28.723986625671387
