variant,hidden,lr,weight_decay,dropout,delta_max,dev_imp_wt_ll,seconds,mlp_hidden,rank,cross_dim
v3_mlp,,0.001,0.0001,0.1,1.0,0.41845912674041796,4.093106746673584,"(64, 32)",,
v3_mlp,,0.001,0.0001,0.1,2.0,0.41845912674041796,4.093087673187256,"(64, 32)",,
v4_bilinear,,0.0003,1e-05,,,0.41845912674041796,0.5622179508209229,,4,
v4_bilinear,,0.0003,0.0001,,,0.41845912674041796,0.5515379905700684,,4,
v4_bilinear,,0.001,1e-05,,,0.41845912674041796,0.5456535816192627,,4,
v4_bilinear,,0.001,0.0001,,,0.41845912674041796,0.5575151443481445,,4,
v4_bilinear,,0.0003,1e-05,,,0.41845912674041796,0.5605809688568115,,8,
v4_bilinear,,0.0003,0.0001,,,0.41845912674041796,0.5592250823974609,,8,
v4_bilinear,,0.001,1e-05,,,0.41845912674041796,0.5587756633758545,,8,
v4_bilinear,,0.001,0.0001,,,0.41845912674041796,0.5575158596038818,,8,
v5_linear,,0.0003,1e-05,,,0.41845912674041796,0.9830315113067627,,,16
v5_linear,,0.0003,0.0001,,,0.41845912674041796,0.933203935623169,,,16
v5_linear,,0.001,1e-05,,,0.41845912674041796,0.9355053901672363,,,16
v5_linear,,0.001,0.0001,,,0.41845912674041796,0.9333715438842773,,,16
v5_linear,,0.0003,1e-05,,,0.41830497277011236,2.2101285457611084,,,32
v5_linear,,0.0003,0.0001,,,0.4183049779367209,2.209841728210449,,,32
v5_linear,,0.001,1e-05,,,0.41845912674041796,0.9988105297088623,,,32
v5_linear,,0.001,0.0001,,,0.41845912674041796,1.0094830989837646,,,32
v5_linear,,0.0003,1e-05,,,0.41845912674041796,1.177966833114624,,,64
v5_linear,,0.0003,0.0001,,,0.41845912674041796,1.1756093502044678,,,64
v5_linear,,0.001,1e-05,,,0.41845912674041796,1.1771016120910645,,,64
v5_linear,,0.001,0.0001,,,0.41845912674041796,1.1784753799438477,,,64
