ons_lam,ons_eta,eta_m,tau,mean_dev_loss,mean_worst_day
0.01,1.0,100.0,inf,0.6095931585898136,0.6167141644168016
0.001,1.0,100.0,64.0,0.6095936789036148,0.6167104746365873
0.1,4.0,100.0,inf,0.6095937246891303,0.6167141644168016
0.1,4.0,10.0,inf,0.609593766879078,0.6167141644106371
0.01,1.0,10.0,inf,0.6095942838546147,0.6167141572089571
0.001,1.0,100.0,inf,0.6095969932033375,0.6167141644168016
0.001,1.0,10.0,inf,0.6095995879223018,0.6167141644167881
0.01,4.0,10.0,16.0,0.6096018026795483,0.6167069954699902
0.01,4.0,10.0,64.0,0.6096024953855474,0.6167104346242979
0.01,4.0,100.0,16.0,0.6096027931206739,0.6167073554811399
0.001,4.0,10.0,64.0,0.609604372201996,0.6167106880729546
0.1,4.0,10.0,16.0,0.6096044073313017,0.6167148593745021
0.01,4.0,100.0,64.0,0.6096045686067183,0.6167118846449144
0.001,1.0,10.0,16.0,0.6096047323895403,0.616708123602014
0.001,4.0,100.0,64.0,0.609605161236552,0.616711618470933
0.001,4.0,100.0,16.0,0.6096058054216384,0.6167071070367057
0.001,1.0,1.0,inf,0.6096058196692199,0.6166990921358408
0.001,4.0,100.0,inf,0.6096058447746798,0.6167141644168016
0.01,4.0,100.0,inf,0.6096058447746798,0.6167141644168016
0.01,4.0,10.0,inf,0.6096059046235182,0.6167141644168016
0.001,4.0,10.0,inf,0.6096059046235921,0.6167141644168016
0.001,4.0,10.0,16.0,0.6096071703428598,0.6167075307929252
0.01,0.25,10.0,4.0,0.6096074693280388,0.6167348709459389
0.01,1.0,1.0,inf,0.6096110246217652,0.6167162909207375
0.01,4.0,1.0,inf,0.6096211884791433,0.616714158133164
0.001,4.0,1.0,inf,0.6096213468978312,0.6167141644108735
0.01,4.0,1.0,64.0,0.6096238424232506,0.6167105072111888
0.01,4.0,100.0,4.0,0.609625150065187,0.6167225260957271
0.001,4.0,1.0,64.0,0.6096258877492183,0.6167105706403361
0.1,4.0,1.0,inf,0.6096304303375603,0.6166981858959698
0.01,0.25,1.0,16.0,0.6096312525440872,0.616728094141075
0.1,1.0,1.0,64.0,0.6096333076338903,0.6167618868488441
0.001,4.0,100.0,4.0,0.609647214831862,0.6167341465937838
0.01,0.25,1.0,4.0,0.6096522795986804,0.6167394857919325
0.001,1.0,1.0,64.0,0.6096599326881131,0.6167516853522631
0.001,0.25,1.0,64.0,0.6096687773167924,0.6167744687924896
0.1,1.0,10.0,4.0,0.609673987359039,0.6168011506225842
0.01,1.0,1.0,64.0,0.6097057484066141,0.6168221151341796
0.001,4.0,10.0,4.0,0.6097212767862938,0.6167976228705642
0.01,4.0,10.0,4.0,0.6097223549750723,0.6168011481775563
0.1,1.0,1.0,16.0,0.6097287580145706,0.6168028089249643
0.001,0.25,10.0,4.0,0.6097382302597046,0.6168462853376845
0.1,4.0,1.0,64.0,0.6097678762186921,0.6167593373997283
0.1,1.0,1.0,4.0,0.6097826112764518,0.6168335342027573
0.001,4.0,1.0,16.0,0.6098068707197876,0.6168271972028965
0.01,1.0,10.0,4.0,0.6098224998229096,0.6169935244317356
0.001,0.25,1.0,16.0,0.6098309560356593,0.6169104164536807
0.001,1.0,10.0,4.0,0.609837892136365,0.6170160094823981
0.01,4.0,1.0,16.0,0.6098925491014663,0.6168927317799028
0.001,0.25,1.0,4.0,0.6099429905771258,0.6170408503025216
0.1,4.0,10.0,4.0,0.6099600004407327,0.6169583373524158
0.001,1.0,1.0,16.0,0.6100759492940037,0.6173634334697988
0.01,1.0,1.0,16.0,0.6101024044421017,0.6172276361699792
0.01,1.0,1.0,4.0,0.6106086448176095,0.6178357644961133
0.1,4.0,1.0,16.0,0.6106736655411417,0.6173595514992485
0.001,1.0,1.0,4.0,0.6111566208389737,0.6193639709758801
0.001,4.0,1.0,4.0,0.6119845668810081,0.6187336061481435
0.01,4.0,1.0,4.0,0.6121144986297217,0.6194257097846928
0.1,4.0,1.0,4.0,0.6123664018080719,0.619988437492525
