method,is_test,day,n,log_loss,brier,ece,clicks
equal_ensemble,True,28,459375,0.6067768751414452,0.2094853559642742,0.009725953887993891,168527
equal_ensemble,True,29,493827,0.6082417868805768,0.21022503497140302,0.015229699568541333,185143
equal_ensemble,True,30,468451,0.6089166222051271,0.21050645159416154,0.012076286976100366,176695
long_only,False,16,477680,0.6098899940970981,0.21086217843672536,0.012274629032478598,178684
long_only,False,17,450258,0.6172860326630938,0.2141946083144631,0.015301820607004598,172509
long_only,False,18,538532,0.6157952257143016,0.21350452741062326,0.007985557564915454,204091
long_only,False,19,582350,0.6053927969538174,0.20879665886795637,0.0087132461882336,212241
long_only,False,20,552965,0.6066303035131726,0.209359633393203,0.006748475765840092,202913
long_only,False,21,562085,0.6061071305004274,0.2091076358435998,0.009458868270555797,205782
long_only,True,22,528347,0.6078286349429028,0.2099402780364367,0.006692374572252565,195055
long_only,True,23,506792,0.6078715209405201,0.2099865784650871,0.007900578879276136,186589
long_only,True,24,436408,0.6139842201649789,0.21278144161414878,0.009488187945517253,164916
long_only,True,25,507128,0.6115493578788417,0.21163885894554266,0.006035860666358804,188189
long_only,True,26,581336,0.5998037763771192,0.20630366376484024,0.01477198140017743,206145
long_only,True,27,518487,0.6022836638790272,0.20749200568393342,0.006410854076742395,185940
long_only,True,28,459375,0.6068779382054703,0.20952082650012083,0.007396748964591377,168527
long_only,True,29,493827,0.6082089481304402,0.21019290747473857,0.012887270684102276,185143
long_only,True,30,468451,0.6089686714211594,0.21052675715403513,0.009597810755585898,176695
short_only,False,16,477680,0.6103878047156289,0.21106229255883394,0.010836586713733786,178684
short_only,False,17,450258,0.6172783262093667,0.2141476974699412,0.006721774546844957,172509
short_only,False,18,538532,0.6160644821166952,0.2135961138704918,0.007106846143679071,204091
short_only,False,19,582350,0.6060351081050376,0.2090736395673607,0.010512629141690237,212241
short_only,False,20,552965,0.607305659035377,0.20963550255521968,0.008323212972844276,202913
short_only,False,21,562085,0.6067096150089649,0.20937383165402768,0.010332778634106355,205782
short_only,True,22,528347,0.6084583924274957,0.21019451055250202,0.00901323162724091,195055
short_only,True,23,506792,0.6085415429775268,0.21028775655783052,0.009259735443409394,186589
short_only,True,24,436408,0.6146182521423138,0.21302917756260062,0.007881348529474697,164916
short_only,True,25,507128,0.612172147967911,0.21187806977771706,0.008275436280677024,188189
short_only,True,26,581336,0.6000746477877987,0.20645834442172967,0.009903228835394719,206145
short_only,True,27,518487,0.6030613307419412,0.20777973475621053,0.007386666322303343,185940
short_only,True,28,459375,0.6074468991247508,0.2097304696287587,0.010046244515358866,168527
short_only,True,29,493827,0.6089019096701069,0.21044393440369952,0.010674197110387485,185143
short_only,True,30,468451,0.6098784024182872,0.2108808705337516,0.011235530846321286,176695
combined,False,16,477680,0.6098014859714579,0.2108073477607881,0.010555404948925307,178684
combined,False,17,450258,0.6168427045915869,0.21396112642595908,0.006114731416810037,172509
combined,False,18,538532,0.6157165867852681,0.2134520706317909,0.006169431245279106,204091
combined,False,19,582350,0.6053341333259568,0.2087822075085475,0.007764904729076514,212241
combined,False,20,552965,0.6066672561170402,0.20936422923160108,0.006296138225916777,202913
