day,block,n,mean_residual
19,87,5921,-0.006019284133075446
19,88,5179,0.0013092225078346835
19,89,4581,-0.005471446155012822
19,90,4040,-0.008832110712723707
19,91,3561,-0.0055536258759779945
19,92,2565,-0.0018688206651856698
19,93,2227,0.012574954286973
19,94,1929,0.00970194921791732
19,95,1609,0.023759560440266125
20,0,1247,-0.009282402366559807
20,1,1091,0.011621354302854969
20,2,961,0.013309597291565835
20,3,873,0.013782725881301139
20,4,819,-0.0022424045977423
20,5,677,0.009801526209584629
20,6,669,-0.0063867110653742865
20,7,686,0.03349190091417362
20,8,645,0.026366973054345
20,9,660,0.03938877827679495
20,10,709,0.02737584813874007
20,11,725,-0.00939899280648751
20,12,804,-0.01326835578435734
20,13,857,0.032307305179382885
20,14,1039,0.04821927798522219
20,15,1188,0.02458216340708272
20,16,1350,0.0547881783967459
20,17,1552,0.031629544985785046
20,18,1756,0.02164032910871747
20,19,1958,0.019929743863886632
20,20,2394,0.01453629355561623
20,21,2908,0.018941896467009132
20,22,3529,0.015226835956956529
20,23,3934,0.0032312910411331957
20,24,4322,0.018794502214167404
20,25,4724,0.01273799791684959
20,26,5322,0.006112059727520862
20,27,5760,0.02144913278457691
20,28,5860,0.015975335044522535
20,29,6320,0.012256496835712677
20,30,6659,-0.004294655666581186
20,31,6811,0.0064257146823743965
20,32,6998,-0.0037027815530478723
20,33,7082,0.0027847103323145775
20,34,7363,-0.013415291021551989
20,35,7328,-0.00997688966807131
20,36,7415,0.0031200577791274968
20,37,7294,-0.004389173503153393
20,38,7564,-0.013940217111064213
20,39,7443,0.000799248153524042
20,40,7496,-0.012403324735490296
20,41,7431,-0.015420198606286283
20,42,7677,0.008235271456163281
20,43,7491,-0.006205788250585872
20,44,7524,-0.01302326703398451
20,45,7562,-0.0008936822420706802
20,46,7727,-0.001564239629780232
20,47,7836,-0.0012080177915556414
20,48,7543,-0.010384531479713768
20,49,7720,0.0015121909783516391
20,50,7786,0.0009397892265781863
20,51,8019,-0.005682501878480737
20,52,7879,-0.009718327997771956
20,53,7981,-0.0005783332081726195
20,54,7918,-0.004221541655492664
20,55,8030,0.0018695122550084406
20,56,7544,-0.0032928381243664535
20,57,7736,-0.006873406195099766
20,58,7720,0.008625860449773988
20,59,8104,0.007631234620056877
20,60,7607,-0.006768212331641434
20,61,7871,-0.003821716918430441
20,62,8049,-0.011996683016962925
20,63,8116,0.0027819950882211233
20,64,8135,0.005325171382584725
20,65,8174,-0.003433011964514118
20,66,8383,-0.0023340944814811693
20,67,8541,0.000854698909073441
20,68,8502,-0.012629187391756915
20,69,8540,-0.008934844429729503
20,70,8617,-0.0006902132171368963
20,71,8653,0.006871972550991414
20,72,8397,-0.00617911732537444
20,73,8681,-0.004432074190799349
20,74,8928,0.012997842196278678
20,75,9318,0.000970101390734354
20,76,9366,-0.005764882573761567
20,77,9304,-0.0014146054515034399
20,78,9599,-0.001974781629814087
20,79,9258,0.0003760102744047313
20,80,9102,0.002977184876916597
20,81,8883,-0.0002995195720457322
20,82,8641,0.006250852893987788
20,83,8536,0.009712192204114194
