regime,seed,config,ll,mean_beta
s3_recurring,3,"{""init_bias"": -2.0, ""rho"": 0.5, ""beta_entropy_reg"": 0.0}",0.43283265563321627,0.86178320816585
s3_recurring,3,"{""init_bias"": -2.0, ""rho"": 0.5, ""beta_entropy_reg"": 0.001}",0.43323327851415316,0.8503035732678005
s3_recurring,4,m5b_default,0.438673921722142,
s3_recurring,4,m5b_high_smooth,0.42953123611631006,
s3_recurring,4,"{""init_bias"": -1.0, ""rho"": 0.3, ""beta_entropy_reg"": 0.0}",0.4330724503107728,0.894001635483333
s3_recurring,4,"{""init_bias"": -1.0, ""rho"": 0.3, ""beta_entropy_reg"": 0.001}",0.43220587723878845,0.8716478075299944
s3_recurring,4,"{""init_bias"": -1.0, ""rho"": 0.5, ""beta_entropy_reg"": 0.0}",0.4346431574944866,0.8560426746095929
s3_recurring,4,"{""init_bias"": -1.0, ""rho"": 0.5, ""beta_entropy_reg"": 0.001}",0.43378387364061133,0.8310404113360814
s3_recurring,4,"{""init_bias"": -2.0, ""rho"": 0.3, ""beta_entropy_reg"": 0.0}",0.43370763803003565,0.853358404976981
s3_recurring,4,"{""init_bias"": -2.0, ""rho"": 0.3, ""beta_entropy_reg"": 0.001}",0.43238479258055196,0.8408416169030326
s3_recurring,4,"{""init_bias"": -2.0, ""rho"": 0.5, ""beta_entropy_reg"": 0.0}",0.433780180360582,0.8840816787311009
s3_recurring,4,"{""init_bias"": -2.0, ""rho"": 0.5, ""beta_entropy_reg"": 0.001}",0.43503347010748755,0.8647142580577305
