regime,ablation,method,log_loss,se,n_seeds
s6_mixed,"A11 per-example beta_t(x), no var penalty",amgtp_bx_var0,,,0
s6_mixed,"A12 per-example beta_t(x), var penalty -> global",amgtp_bx_varhi,,,0
s6_mixed,"A13 per-example beta_t(x), nonlinear g_xi",amgtp_bx_h8,,,0
s7_opposing_recurring,A0 expanding only,expanding,0.4359699856610044,0.004076164738536073,12
s7_opposing_recurring,A1 no persistence (beta=0),amgtp_fixed_beta0,0.4356446124947546,0.004059755906883772,12
s7_opposing_recurring,A2 fixed low persistence,m5b_smooth0.001,0.43557052334943486,0.004037568648735264,12
s7_opposing_recurring,A3 fixed high persistence,m5b_smooth0.1,0.4326352198917607,0.003968108653086744,12
s7_opposing_recurring,"A4 adaptive beta, global q",amgtp_global_q,0.43590449569514805,0.004021286120403861,12
s7_opposing_recurring,"A5 adaptive beta, uniform q",amgtp_uniform_q,0.45102384214737773,0.004080541970991527,12
s7_opposing_recurring,A6 full AMG-TP,amgtp,0.43591969189832747,0.003966291155003849,12
s7_opposing_recurring,"A7 adaptive beta, no state feats",amgtp_no_state,0.43543087003762887,0.004087684780460574,12
s7_opposing_recurring,A8a 2-expert gate (M2),m2_context_gate,0.4339907018159715,0.004013713066937791,12
s7_opposing_recurring,A8b 5-expert gate (M5b),m5b_smooth0.001,0.43557052334943486,0.004037568648735264,12
s7_opposing_recurring,A9 static uniform-5,uniform5,0.45102384266409223,0.004080541974785614,12
s7_opposing_recurring,A10 nonlinear persistence net (h=8),amgtp_hidden8,0.43529626112593767,0.0040239946848226165,12
s7_opposing_recurring,A10 nonlinear persistence net (h=16),amgtp_hidden16,0.43568174712055535,0.004008388624308501,12
s7_opposing_recurring,A11 per-example beta_t(x),amgtp_bx,0.43661903184810513,0.004008085278568657,12
s7_opposing_recurring,"A11 per-example beta_t(x), no var penalty",amgtp_bx_var0,0.43664208187719816,0.004006391808328611,12
s7_opposing_recurring,"A12 per-example beta_t(x), var penalty -> global",amgtp_bx_varhi,0.4363123116331047,0.004010322985759822,12
s7_opposing_recurring,"A13 per-example beta_t(x), nonlinear g_xi",amgtp_bx_h8,0.43639498433538065,0.004043347603653741,12
